,how company compares to its peers?,what is the detailed income statement breakdown of Axa?,world premium penetration in 2020,How does the forecasted insurance premium penetration in country trend compare to its peers?,what are the total losses for companies in country  non life market?,Insurance premiums market in Country,"How have the profit margins been for the airlines industry through the years, by regions?",What is the complete profile of the top oil rigs?,what is company general information?,How is the airline industry performing globally?,how does economic profit for in country compare to others?,most profitable insurance company India,Give me a detailed breakup of the income and expenses in South-East Asia,Show me all the oil rigs in the world,What were the premiums earned by the Indian insurance industry in 2020?,How much have premiums grown as compared to claims for India?,Which are the best performing insurance firms in India?,What is the ROE of the Indian market?,What profits were clocked by Cholamandalam in 2020?,What is the premiums market share of the top 5 companies in India?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,Which are the main distribution channels in India?,What are the risks in the motor insurance segment in India?,What is the demand potential of India for insurance?,How do premiums break down by lines of business in India?,What is the share price of Qantas?,How many passengers are carried in ?,Which are the aircrafts manufactured by Boeing?,Kdo je nejv?t�� konkurent ?esk� Poji�?ovny?,Which are the top airports?,How many fatal air accidents till date?,What is the flow of air traffic in North America?,What is the fleet of Airbus?,Airlines profitability Brazil?,Mergers among airline companies?,Which are the most profitable airports?,What has the capacity movement of airline companies been over the years?,Details of the Aban Abraham oil rig?,How big is the airlines industry in China?,How much money did Lloyd's of London make last year?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,Which Lloyd's syndicates owns the maximum number of assets?,List key performance indicators for AXA?,What are the most prominent legal cases?,How does oil industry perform in Brazil?,What is the main driver of growth in automobile industry in Europe?,Which country in Europe is going to grow the most in 2020?,What are the biggest acquisitions in 2020?,How impacted is the airline industry in 2020?,What are the most prominent bankruptcies in 2020?
How much money did Lloyd's of London make last year?,0.4325613,0.43877044,0.23391564,0.5200793,0.54118544,0.21510527,0.5440429,0.53256845,0.40398207,0.50630724,0.6290156,0.31701466,0.5220116,0.45105278,0.4873577,0.6335502,0.5127868,0.41612956,0.4756847,0.5022042,0.55214024,0.42221314,0.47496867,0.5152686,0.60304326,0.4990363,0.5341431,0.33809727,0.06253297,0.4707279,0.4407756,0.44291005,0.46487537,0.11287819,0.17815582,0.4789075,0.49543685,0.24646081,0.5886392,1.0,0.4236266,0.38589096,0.2484432,0.46615505,0.628355,0.42208788,0.6050535,0.5094461,0.5036611,0.45620048
What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.44124457,0.46970624,0.31160536,0.52222073,0.5565282,0.3663107,0.5303825,0.5199398,0.429384,0.42339998,0.49904576,0.2927688,0.47107667,0.4284313,0.5415476,0.4909492,0.49049518,0.55373496,0.5118643,0.56816614,0.49635288,0.43707857,0.56659985,0.49766007,0.44820508,0.5251742,0.38655016,0.4083153,0.1348734,0.4687533,0.37652037,0.47133374,0.50509936,0.1823129,0.21564656,0.43958327,0.5021738,0.3427926,0.44737095,0.4236266,0.99999946,0.41040605,0.38443008,0.44367018,0.37986946,0.55553764,0.5160216,0.48825946,0.4659425,0.44456577
Which Lloyd's syndicates owns the maximum number of assets?,0.37234706,0.40726304,0.3632076,0.48761907,0.5724734,0.28276116,0.4819118,0.5114444,0.44572088,0.40827766,0.44191742,0.41882998,0.39624128,0.42087126,0.49497738,0.43243098,0.5701645,0.45703986,0.4910132,0.5563763,0.4181804,0.58477485,0.5181518,0.50721115,0.46398816,0.49735326,0.4291059,0.49398276,0.0020061848,0.5799241,0.30563954,0.40469688,0.5152677,0.14470665,0.2769144,0.5950991,0.5327214,0.22337043,0.4573523,0.38589096,0.41040605,0.99999994,0.2823986,0.5236207,0.37938148,0.46869105,0.55084,0.53313637,0.4216538,0.51334435
List key performance indicators for AXA?,0.28183302,0.42289528,0.25417832,0.40879604,0.4432149,0.22748962,0.39662623,0.46024927,0.2749601,0.3911727,0.42320356,0.26485845,0.3749359,0.3178066,0.3344053,0.31410584,0.42742646,0.35781577,0.32558876,0.40139267,0.4291139,0.3802887,0.40723705,0.42942128,0.32367846,0.3386687,0.27355286,0.26222196,0.03594359,0.40771928,0.17745493,0.31350893,0.32942054,0.22509913,0.26327646,0.3803723,0.385572,0.18354833,0.36842203,0.2484432,0.38443008,0.2823986,0.99999964,0.36279058,0.34734485,0.4312161,0.33955944,0.38138863,0.35285005,0.3896793
What are the most prominent legal cases?,0.33274665,0.49738473,0.29895702,0.45801732,0.61684394,0.17730154,0.51724243,0.66707176,0.51327735,0.4930278,0.48940352,0.37656468,0.41987762,0.434539,0.5063809,0.48366433,0.63722837,0.5158338,0.46658573,0.5537476,0.5074807,0.6270093,0.5881876,0.5953306,0.4444317,0.5511999,0.5528892,0.54269826,0.017695723,0.736809,0.37765613,0.4970806,0.566807,0.1008278,0.2829596,0.7403634,0.5529573,0.2401696,0.5632994,0.46615505,0.44367018,0.5236207,0.36279058,1.0,0.47184822,0.5825894,0.679475,0.6992091,0.51131207,0.84136593
How does oil industry perform in Brazil?,0.5117516,0.4125036,0.35447237,0.6422805,0.5437398,0.2889592,0.6223467,0.64653295,0.48122653,0.7812855,0.66806823,0.41521123,0.45669708,0.61113614,0.5407427,0.5679452,0.6029653,0.50753945,0.43232384,0.5953781,0.700592,0.44476116,0.5487597,0.5855982,0.61295056,0.55481493,0.507198,0.3985151,0.07660571,0.4608155,0.48683703,0.5228339,0.5254937,0.25207958,0.33585274,0.4879703,0.5692807,0.39872578,0.74291205,0.628355,0.37986946,0.37938148,0.34734485,0.47184822,1.0,0.60991484,0.60093683,0.49035352,0.71858555,0.48631257
What is the main driver of growth in automobile industry in Europe?,0.46669337,0.51866853,0.49478328,0.62271494,0.6577916,0.39084217,0.64575744,0.63287777,0.6244387,0.65117407,0.6060583,0.5374968,0.49265555,0.5521114,0.62921524,0.48179308,0.6120044,0.6113192,0.5597794,0.7078795,0.6621014,0.62059,0.7248626,0.69347405,0.5502396,0.59858453,0.4634896,0.48561615,0.07349892,0.5369262,0.43918937,0.6212393,0.63071185,0.3124452,0.36905247,0.58816236,0.6708628,0.30701074,0.70511323,0.42208788,0.55553764,0.46869105,0.4312161,0.5825894,0.60991484,0.9999999,0.7124509,0.64238054,0.6934287,0.6361403
Which country in Europe is going to grow the most in 2020?,0.46129048,0.49584836,0.5259161,0.6606759,0.70812285,0.28515556,0.61480117,0.6565494,0.5604359,0.6098763,0.66012025,0.49941352,0.5318969,0.5815578,0.5667323,0.57647127,0.6806804,0.60620916,0.5333832,0.65987253,0.64422035,0.6903305,0.6576699,0.7208017,0.5675331,0.60942376,0.559925,0.56979024,0.054236453,0.71517617,0.3968838,0.6115749,0.6536054,0.17136821,0.31285325,0.76257795,0.6276765,0.24189241,0.6723896,0.6050535,0.5160216,0.55084,0.33955944,0.679475,0.60093683,0.7124509,0.9999999,0.72437453,0.6485398,0.6928352
What are the biggest acquisitions in 2020?,0.41917682,0.4612233,0.41974172,0.56264454,0.67506725,0.2877252,0.6122883,0.6513043,0.561478,0.49565864,0.55794966,0.46382603,0.49833027,0.52331966,0.5607359,0.49234018,0.66572654,0.5740768,0.59229624,0.6768514,0.57061416,0.6569119,0.6714763,0.644614,0.5432415,0.61359733,0.5206154,0.5524397,0.0572654,0.6803353,0.38581315,0.5363536,0.602638,0.24125838,0.3640392,0.7032983,0.6070682,0.26390827,0.65495974,0.5094461,0.48825946,0.53313637,0.38138863,0.6992091,0.49035352,0.64238054,0.72437453,0.9999999,0.5535499,0.7301431
How impacted is the airline industry in 2020?,0.5673742,0.4654093,0.3899923,0.6421267,0.63177854,0.36646122,0.77092093,0.57505596,0.5575527,0.87246764,0.6311783,0.5063141,0.47571525,0.5102485,0.6390711,0.5684416,0.5849854,0.5421244,0.50919306,0.6420122,0.6574711,0.50814617,0.6299965,0.6050592,0.61170936,0.54958016,0.591598,0.49426693,0.0041062026,0.46708304,0.4782148,0.5682658,0.6069937,0.46470332,0.55008584,0.5436646,0.7585096,0.35548097,0.8676576,0.5036611,0.4659425,0.4216538,0.35285005,0.51131207,0.71858555,0.6934287,0.6485398,0.5535499,1.0,0.59177405
What are the most prominent bankruptcies in 2020?,0.34988183,0.47977382,0.36782107,0.5267397,0.6752305,0.2985532,0.59590316,0.6379684,0.46483657,0.5342444,0.5411113,0.4436633,0.48117784,0.48030335,0.57285774,0.52971494,0.67544407,0.49836951,0.52989423,0.6195368,0.5647136,0.6008453,0.6457478,0.56753916,0.5336926,0.523006,0.5794716,0.543968,0.053660322,0.6960301,0.46051848,0.49906027,0.54289484,0.20396844,0.41238025,0.7388256,0.59139204,0.22637466,0.62657213,0.45620048,0.44456577,0.51334435,0.3896793,0.84136593,0.48631257,0.6361403,0.6928352,0.7301431,0.59177405,1.0000001
